sentence,author name,likes,tags,image link
"
      “Be yourself; everyone else is already taken.”
  ,  ―
  ,
","
    Oscar Wilde
  ",167188 likes,"attributed-no-source,be-yourself,gilbert-perreira,honesty,inspirational,misattributed-oscar-wilde,quote-investigator",https://images.gr-assets.com/authors/1673611182p2/3565.jpg
,,,,
"
      “I'm selfish, impatient and a little insecure. I make mistakes, I am out of control and at times hard to handle. But if you can't handle me at my worst, then you sure as hell don't deserve me at my best.”
  ,  ―
  ,
","
    Marilyn Monroe
  ",160772 likes,"attributed-no-source,best,life,love,misattributed-marilyn-monroe,mistakes,out-of-control,truth,worst",https://images.gr-assets.com/quotes/1511992603p2/8630.jpg
"
      “Two things are infinite: the universe and human stupidity; and I'm not sure about the universe.”
  ,  ―
  ,
","
    Albert Einstein
  ",143534 likes,"attributed-no-source,human-nature,humor,infinity,philosophy,science,stupidity,universe",https://images.gr-assets.com/authors/1429114964p2/9810.jpg
"
      “So many books, so little time.”
  ,  ―
  ,
","
    Frank Zappa
  ",142569 likes,"books,humor",https://images.gr-assets.com/authors/1315160559p2/22302.jpg
"
      “A room without books is like a body without a soul.”
  ,  ―
  ,
","
    Marcus Tullius Cicero
  ",130731 likes,"attributed-no-source,books,simile,soul",https://images.gr-assets.com/authors/1197881416p2/13755.jpg
"
      “Be who you are and say what you feel, because those who mind don't matter, and those who matter don't mind.”
  ,  ―
  ,
","
    Bernard M. Baruch
  ",126954 likes,"ataraxy,be-yourself,confidence,fitting-in,individuality,misattributed-dr-seuss,those-who-matter",https://images.gr-assets.com/authors/1331977133p2/5768330.jpg
"
      “You've gotta dance like there's nobody watching,,Love like you'll never be hurt,,Sing like there's nobody listening,,And live like it's heaven on earth.”
  ,  ―
  ,
","
    William W. Purkey
  ",125351 likes,"dance,heaven,hurt,inspirational,life,love,sing",https://images.gr-assets.com/authors/1282396130p2/1744830.jpg
"
      “You know you're in love when you can't fall asleep because reality is finally better than your dreams.”
  ,  ―
  ,
","
    Dr. Seuss
  ",122767 likes,"attributed-no-source,dreams,love,reality,sleep",https://images.gr-assets.com/authors/1193930952p2/61105.jpg
"
      “You only live once, but if you do it right, once is enough.”
  ,  ―
  ,
","
    Mae West
  ",115221 likes,"humor,life",https://images.gr-assets.com/authors/1198551937p2/259666.jpg
"
      “Be the change that you wish to see in the world.”
  ,  ―
  ,
","
    Mahatma Gandhi
  ",111926 likes,"action,change,inspirational,misattributed-to-gandhi,philosophy,wish",https://images.gr-assets.com/authors/1356810912p2/5810891.jpg
"
      “In three words I can sum up everything I've learned about life: it goes on.”
  ,  ―
  ,
","
    Robert Frost
  ",106386 likes,life,https://images.gr-assets.com/authors/1605640483p2/7715.jpg
"
      “If you want to know what a man's like, take a good look at how he treats his inferiors, not his equals.”
  ,  ―
  ,
    ,
    

  
,


,

","
    J.K. Rowling,
  ",99988 likes,from-charles-bayard-mitchell,https://images.gr-assets.com/authors/1596216614p2/1077326.jpg
"
      “Don’t walk in front of me… I may not follow,Don’t walk behind me… I may not lead,Walk beside me… just be my friend”
  ,  ―
  ,
","
    Albert Camus
  ",90644 likes,"attributed-no-source,friends,friendship,misattributed-albert-camus",https://images.gr-assets.com/authors/1680690122p2/957894.jpg
"
      “If you tell the truth, you don't have to remember anything.”
  ,  ―
  ,
","
    Mark Twain
  ",89303 likes,"lies,lying,memory,truth",https://images.gr-assets.com/authors/1322103868p2/1244.jpg
"
      “Friendship ... is born at the moment when one man says to another ""What! You too? I thought that no one but myself . . .”
  ,  ―
  ,
    ,
    


,

","
    C.S. Lewis,
  ",86773 likes,friendship,https://images.gr-assets.com/quotes/1387503187p2/10554.jpg
"
      “I've learned that people will forget what you said, people will forget what you did, but people will never forget how you made them feel.”
  ,  ―
  ,
","
    Maya Angelou
  ",85549 likes,,https://images.gr-assets.com/authors/1379017377p2/3503.jpg
"
      “A friend is someone who knows all about you and still loves you.”
  ,  ―
  ,
","
    Elbert Hubbard
  ",82355 likes,"friend,friendship,knowledge,love",https://images.gr-assets.com/authors/1216826209p2/114059.jpg
"
      “To live is the rarest thing in the world. Most people exist, that is all.”
  ,  ―
  ,
","
    Oscar Wilde
  ",81020 likes,life,https://images.gr-assets.com/authors/1673611182p2/3565.jpg
"
      “Always forgive your enemies; nothing annoys them so much.”
  ,  ―
  ,
","
    Oscar Wilde
  ",79751 likes,"attributed-no-source,enemies,forgiveness,strategy",https://images.gr-assets.com/authors/1673611182p2/3565.jpg
"
      “Darkness cannot drive out darkness: only light can do that. Hate cannot drive out hate: only love can do that.”
  ,  ―
  ,
    ,
    


,

","
    Martin Luther King Jr.,
  ",76408 likes,"darkness,drive-out,hate,inspirational,light,love,peace",https://images.gr-assets.com/authors/1198518558p2/23924.jpg
"
      “Live as if you were to die tomorrow. Learn as if you were to live forever.”
  ,  ―
  ,
","
    Mahatma Gandhi
  ",76315 likes,"carpe-diem,education,inspirational,learning",https://images.gr-assets.com/authors/1356810912p2/5810891.jpg
"
      “We accept the love we think we deserve.”
  ,  ―
  ,
    ,
    


,

","
    Stephen Chbosky,
  ",72969 likes,"inspirational,love",https://images.gr-assets.com/quotes/1387506524p2/2534.jpg
"
      “Without music, life would be a mistake.”
  ,  ―
  ,
    ,
    


,

","
    Friedrich Nietzsche,
  ",71943 likes,"inspirational,music,philosophy",https://images.gr-assets.com/authors/1651474065p2/1938.jpg
"
      “I am so clever that sometimes I don't understand a single word of what I am saying.”
  ,  ―
  ,
    ,
    


,

","
    Oscar Wilde,
  ",70294 likes,"intelligence,self-deprecation",https://images.gr-assets.com/authors/1673611182p2/3565.jpg
"
      “To be yourself in a world that is constantly trying to make you something else is the greatest accomplishment.”
  ,  ―
  ,
","
    Ralph Waldo Emerson
  ",68174 likes,"accomplishment,attributed-no-source,be-yourself,conformity,individuality",https://images.gr-assets.com/authors/1393555704p2/12080.jpg
"
      “Here's to the crazy ones. The misfits. The rebels. The troublemakers. The round pegs in the square holes. The ones who see things differently. They're not fond of rules. And they have no respect for the status quo. You can quote them, disagree with them, glorify or vilify them. About the only thing you can't do is ignore them. Because they change things. They push the human race forward. And while some may see them as the crazy ones, we see genius. Because the people who are crazy enough to think they can change the world, are the ones who do.”
  ,  ―
  ,
","
    Rob Siltanen
  ",67148 likes,,
"
      “Insanity is doing the same thing, over and over again, but expecting different results.”
  ,  ―
  ,
","
    Narcotics Anonymous
  ",63633 likes,"humor,insanity,life,misattributed-ben-franklin,misattributed-mark-twain,misattributed-to-einstein",
"
      “I believe that everything happens for a reason. People change so that you can learn to let go, things go wrong so that you appreciate them when they're right, you believe lies so you eventually learn to trust no one but yourself, and sometimes good things fall apart so better things can fall together.”
  ,  ―
  ,
","
    Marilyn Monroe
  ",61347 likes,"attributed-no-source,misattributed-marilyn-monroe",https://images.gr-assets.com/quotes/1512016299p2/12379.jpg
